Price,Close,High,Low,Open,Volume
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA
Date,,,,,
2019-01-25,12127.25,12164.48046875,12105.9599609375,12106.3896484375,3821000000
2019-01-28,12065.1103515625,12066.580078125,11984.8603515625,12040.66015625,3630820000
2019-01-29,12090.7802734375,12115.5302734375,12056.419921875,12080.419921875,3518070000
2019-01-30,12222.3896484375,12266.5498046875,12104.2197265625,12130.009765625,3883270000
2019-01-31,12299.0302734375,12315.1396484375,12196.1904296875,12222.990234375,4953800000
2019-02-01,12329.6904296875,12350.5498046875,12287.2099609375,12312.259765625,3782490000
2019-02-04,12381.830078125,12382.0498046875,12268.5703125,12315.490234375,3369450000
2019-02-05,12428.259765625,12431.9501953125,12378.400390625,12409.0400390625,3597620000
2019-02-06,12398.669921875,12423.400390625,12382.169921875,12405.4296875,3486590000
2019-02-07,12295.2197265625,12347.6103515625,12215.3095703125,12345.5498046875,4114040000
2019-02-08,12292.1396484375,12292.4296875,12186.66015625,12252.8701171875,3649510000
2019-02-11,12297.900390625,12320.1298828125,12274.9501953125,12304.7998046875,3395330000
2019-02-12,12438.4404296875,12456.2900390625,12366.33984375,12366.33984375,3843020000
2019-02-13,12474.8896484375,12510.8798828125,12452.4404296875,12462.919921875,3684910000
2019-02-14,12440.2197265625,12492.4501953125,12383.330078125,12422.240234375,3845390000
2019-02-15,12603.4697265625,12603.83984375,12503.48046875,12503.48046875,3648680000
2019-02-19,12628.3603515625,12656.8603515625,12560.349609375,12567.6796875,3535270000
2019-02-20,12673.66015625,12695.5498046875,12624.0595703125,12627.6103515625,3904830000
2019-02-21,12621.76953125,12648.2900390625,12580.0302734375,12644.0498046875,3598260000
2019-02-22,12694.51953125,12700.0595703125,12644.150390625,12654.3896484375,3429350000
2019-02-25,12700.1904296875,12769.6396484375,12697.2900390625,12746.41015625,3860260000
2019-02-26,12686.5595703125,12729.25,12674.349609375,12685.3203125,3676200000
2019-02-27,12689.8701171875,12706.1298828125,12637.849609375,12680.919921875,3771790000
2019-02-28,12644.8095703125,12679.1904296875,12642.4296875,12671.23046875,4445780000
2019-03-01,12700.669921875,12740.400390625,12645.5703125,12698.23046875,3994950000
2019-03-04,12637.26953125,12737.5,12537.7998046875,12728.9599609375,3949730000
2019-03-05,12624.4697265625,12649.76953125,12600.8896484375,12638.1904296875,3631380000
2019-03-06,12538.0,12623.7802734375,12529.23046875,12622.490234375,3800180000
2019-03-07,12443.4296875,12514.2001953125,12408.3798828125,12513.51953125,3932150000
2019-03-08,12415.1298828125,12418.2900390625,12336.490234375,12364.6904296875,3424300000
2019-03-11,12561.259765625,12563.98046875,12429.8896484375,12429.8896484375,3764850000
2019-03-12,12582.8095703125,12611.4697265625,12571.0400390625,12576.759765625,3432340000
2019-03-13,12674.259765625,12704.849609375,12621.6904296875,12621.6904296875,3782250000
2019-03-14,12660.16015625,12685.3896484375,12637.4404296875,12668.7802734375,3505670000
2019-03-15,12715.76953125,12749.5703125,12677.759765625,12679.080078125,5969780000
2019-03-18,12781.41015625,12786.7900390625,12726.4697265625,12732.26953125,3620770000
2019-03-19,12760.7900390625,12854.8203125,12728.9697265625,12826.1201171875,3650740000
2019-03-20,12700.25,12789.3798828125,12658.259765625,12749.6103515625,3779160000
2019-03-21,12782.5400390625,12803.4501953125,12657.6298828125,12658.9697265625,3612620000
2019-03-22,12539.41015625,12716.8701171875,12533.2900390625,12709.26953125,4253730000
2019-03-25,12535.6796875,12590.169921875,12486.0595703125,12526.490234375,3406110000
2019-03-26,12641.3603515625,12672.73046875,12578.8701171875,12598.4501953125,3288570000
2019-03-27,12591.7197265625,12662.5,12520.2001953125,12635.25,3422400000
2019-03-28,12632.580078125,12641.0703125,12555.830078125,12601.2099609375,3185460000
2019-03-29,12696.8798828125,12704.58984375,12644.48046875,12691.76953125,3752520000
2019-04-01,12836.0302734375,12843.9501953125,12773.5302734375,12775.83984375,3560090000
2019-04-02,12819.0498046875,12841.8203125,12784.7099609375,12840.4404296875,3267210000
2019-04-03,12833.599609375,12882.5703125,12803.8701171875,12819.0595703125,3570000000
2019-04-04,12868.740234375,12872.490234375,12818.830078125,12833.3203125,3038740000
2019-04-05,12927.7197265625,12927.900390625,12880.1904296875,12889.3701171875,3155970000
2019-04-08,12943.33984375,12943.349609375,12888.8701171875,12927.73046875,3056460000
2019-04-09,12849.7099609375,12892.0498046875,12834.4501953125,12892.0498046875,3032480000
2019-04-10,12887.3603515625,12898.26953125,12852.8798828125,12867.33984375,3092230000
2019-04-11,12887.1201171875,12910.400390625,12856.240234375,12892.6201171875,2970650000
2019-04-12,12969.5400390625,12994.98046875,12938.0498046875,12955.66015625,3726050000
2019-04-15,12956.6796875,12983.25,12936.5,12979.26953125,3114530000
2019-04-16,12952.240234375,13002.83984375,12934.25,12986.2998046875,3403120000
2019-04-17,12907.1103515625,12995.599609375,12891.4404296875,12984.330078125,3648100000
2019-04-18,12922.7099609375,12938.75,12869.849609375,12912.1796875,3507100000
2019-04-22,12914.2802734375,12920.8203125,12886.7998046875,12900.41015625,3010130000
2019-04-23,12993.849609375,13010.990234375,12910.7802734375,12916.669921875,3674480000
2019-04-24,12951.6298828125,12993.8603515625,12938.5498046875,12993.8603515625,3468480000
2019-04-25,12912.9599609375,12939.8603515625,12850.1201171875,12907.080078125,3440010000
2019-04-26,12991.2001953125,12991.2998046875,12910.8798828125,12923.66015625,3264390000
